date,year_of,month_of,sname,birth,sex,grp,stime,min,age_sample,activity
2000-01-07,2000,Jan,KOL,1994-10-09,Female,2.2,17:20:00,3,5.245722108145106,Feed
2000-01-07,2000,Jan,KOL,1994-10-09,Female,2.2,17:20:00,4,5.245722108145106,Walk
2000-01-07,2000,Jan,KOL,1994-10-09,Female,2.2,17:20:00,5,5.245722108145106,Rest
2000-01-07,2000,Jan,KOL,1994-10-09,Female,2.2,17:20:00,6,5.245722108145106,Feed
2000-01-07,2000,Jan,KOL,1994-10-09,Female,2.2,17:20:00,7,5.245722108145106,Walk
2000-01-07,2000,Jan,KOL,1994-10-09,Female,2.2,17:20:00,8,5.245722108145106,Feed
2000-01-07,2000,Jan,LIM,1985-10-31,Female,2.2,17:30:00,1,14.184804928131417,Walk
2000-01-07,2000,Jan,LIM,1985-10-31,Female,2.2,17:30:00,2,14.184804928131417,Rest
2000-01-07,2000,Jan,LIM,1985-10-31,Female,2.2,17:30:00,3,14.184804928131417,Walk
2000-01-07,2000,Jan,LIM,1985-10-31,Female,2.2,17:30:00,4,14.184804928131417,Feed
2000-01-07,2000,Jan,LIM,1985-10-31,Female,2.2,17:30:00,5,14.184804928131417,Rest
2000-01-07,2000,Jan,LIM,1985-10-31,Female,2.2,17:30:00,6,14.184804928131417,Feed
2000-01-07,2000,Jan,LIM,1985-10-31,Female,2.2,17:30:00,7,14.184804928131417,Walk
2000-01-07,2000,Jan,LIM,1985-10-31,Female,2.2,17:30:00,8,14.184804928131417,Rest
2000-01-07,2000,Jan,LIM,1985-10-31,Female,2.2,17:30:00,9,14.184804928131417,Rest
2000-01-07,2000,Jan,LAR,1987-12-23,Female,2.1,15:44:00,1,12.041067761806982,Rest
2000-01-07,2000,Jan,LAR,1987-12-23,Female,2.1,15:44:00,2,12.041067761806982,Groom infant
2000-01-07,2000,Jan,LAR,1987-12-23,Female,2.1,15:44:00,3,12.041067761806982,Groom infant
2000-01-07,2000,Jan,LAR,1987-12-23,Female,2.1,15:44:00,4,12.041067761806982,Rest
2000-01-07,2000,Jan,LAR,1987-12-23,Female,2.1,15:44:00,5,12.041067761806982,Rest
2000-01-07,2000,Jan,LAR,1987-12-23,Female,2.1,15:44:00,6,12.041067761806982,Rest
2000-01-07,2000,Jan,LAR,1987-12-23,Female,2.1,15:44:00,7,12.041067761806982,Rest
2000-01-07,2000,Jan,LAR,1987-12-23,Female,2.1,15:44:00,8,12.041067761806982,Rest
2000-01-07,2000,Jan,LAR,1987-12-23,Female,2.1,15:44:00,9,12.041067761806982,Rest
2000-01-07,2000,Jan,LAR,1987-12-23,Female,2.1,15:44:00,10,12.041067761806982,Rest
2000-01-07,2000,Jan,NIX,1982-01-03,Female,2.1,15:54:00,1,18.00958247775496,Rest
2000-01-07,2000,Jan,NIX,1982-01-03,Female,2.1,15:54:00,2,18.00958247775496,Rest
2000-01-07,2000,Jan,NIX,1982-01-03,Female,2.1,15:54:00,3,18.00958247775496,Rest
2000-01-07,2000,Jan,NIX,1982-01-03,Female,2.1,15:54:00,4,18.00958247775496,Rest
2000-01-07,2000,Jan,NIX,1982-01-03,Female,2.1,15:54:00,5,18.00958247775496,Rest
2000-01-07,2000,Jan,NIX,1982-01-03,Female,2.1,15:54:00,6,18.00958247775496,Rest
2000-01-07,2000,Jan,NIX,1982-01-03,Female,2.1,15:54:00,7,18.00958247775496,Walk
2000-01-07,2000,Jan,NIX,1982-01-03,Female,2.1,15:54:00,8,18.00958247775496,Walk
2000-01-07,2000,Jan,NIX,1982-01-03,Female,2.1,15:54:00,9,18.00958247775496,Walk
2000-01-07,2000,Jan,NOB,1993-11-16,Female,2.1,16:41:00,1,6.140999315537303,Rest
2000-01-07,2000,Jan,NOB,1993-11-16,Female,2.1,16:41:00,2,6.140999315537303,Rest
2000-01-07,2000,Jan,NOB,1993-11-16,Female,2.1,16:41:00,3,6.140999315537303,Rest
2000-01-07,2000,Jan,NOB,1993-11-16,Female,2.1,16:41:00,4,6.140999315537303,Be groomed
2000-01-07,2000,Jan,NOB,1993-11-16,Female,2.1,16:41:00,5,6.140999315537303,Be groomed
2000-01-07,2000,Jan,NOB,1993-11-16,Female,2.1,16:41:00,6,6.140999315537303,Be groomed
2000-01-07,2000,Jan,NOB,1993-11-16,Female,2.1,16:41:00,7,6.140999315537303,Be groomed
2000-01-07,2000,Jan,NOB,1993-11-16,Female,2.1,16:41:00,8,6.140999315537303,Be groomed
2000-01-07,2000,Jan,NOB,1993-11-16,Female,2.1,16:41:00,9,6.140999315537303,Walk
2000-01-07,2000,Jan,LAD,1993-08-09,Female,2.1,16:51:00,1,6.412046543463381,Rest
2000-01-07,2000,Jan,LAD,1993-08-09,Female,2.1,16:51:00,2,6.412046543463381,Rest
2000-01-07,2000,Jan,LAD,1993-08-09,Female,2.1,16:51:00,3,6.412046543463381,Rest
2000-01-07,2000,Jan,LAD,1993-08-09,Female,2.1,16:51:00,4,6.412046543463381,Rest
2000-01-07,2000,Jan,LAD,1993-08-09,Female,2.1,16:51:00,5,6.412046543463381,Rest
2000-01-07,2000,Jan,LAD,1993-08-09,Female,2.1,16:51:00,6,6.412046543463381,Rest
2000-01-07,2000,Jan,LAD,1993-08-09,Female,2.1,16:51:00,7,6.412046543463381,Rest
2000-01-07,2000,Jan,LAD,1993-08-09,Female,2.1,16:51:00,8,6.412046543463381,Groom
2000-01-07,2000,Jan,LAD,1993-08-09,Female,2.1,16:51:00,9,6.412046543463381,Groom
2000-01-07,2000,Jan,MYS,1991-12-28,Female,2.1,17:01:00,1,8.02737850787132,Rest
2000-01-07,2000,Jan,MYS,1991-12-28,Female,2.1,17:01:00,2,8.02737850787132,Rest
2000-01-07,2000,Jan,MYS,1991-12-28,Female,2.1,17:01:00,3,8.02737850787132,Rest
2000-01-07,2000,Jan,MYS,1991-12-28,Female,2.1,17:01:00,4,8.02737850787132,Rest
2000-01-07,2000,Jan,MYS,1991-12-28,Female,2.1,17:01:00,5,8.02737850787132,Rest
2000-01-07,2000,Jan,MYS,1991-12-28,Female,2.1,17:01:00,6,8.02737850787132,Rest
2000-01-07,2000,Jan,MYS,1991-12-28,Female,2.1,17:01:00,7,8.02737850787132,Rest
2000-01-07,2000,Jan,MYS,1991-12-28,Female,2.1,17:01:00,8,8.02737850787132,Groom
2000-01-07,2000,Jan,MYS,1991-12-28,Female,2.1,17:01:00,9,8.02737850787132,Groom
2000-01-07,2000,Jan,WAD,1993-09-02,Female,2.1,17:40:00,1,6.346338124572211,Rest
2000-01-07,2000,Jan,WAD,1993-09-02,Female,2.1,17:40:00,2,6.346338124572211,Rest
2000-01-07,2000,Jan,WAD,1993-09-02,Female,2.1,17:40:00,3,6.346338124572211,Rest
2000-01-07,2000,Jan,WAD,1993-09-02,Female,2.1,17:40:00,4,6.346338124572211,Rest
2000-01-07,2000,Jan,WAD,1993-09-02,Female,2.1,17:40:00,5,6.346338124572211,Rest
2000-01-07,2000,Jan,WAD,1993-09-02,Female,2.1,17:40:00,6,6.346338124572211,Rest
2000-01-07,2000,Jan,WAD,1993-09-02,Female,2.1,17:40:00,7,6.346338124572211,Rest
